Driver,Trip,Time,Ax,Ay,Az,PitchRate,RollRate,YawRate,Pitch,Roll,Yaw,ImuTime
1,1,120,0.068557,-0.39342,9.7568,0.45604,0.95901,-1.559,-3.5146,-4.5141,72.342,37.579
1,1,125,0.057542,-0.29932,9.7857,0.25232,0.89899,-1.6385,-3.4926,-4.4505,72.259,37.629
1,1,130,0.052687,-0.29289,9.7762,0.090335,0.59942,-1.6655,-3.4786,-4.4019,72.174,37.679
1,1,135,0.043662,-0.32471,9.755,-0.0023476,0.15393,-1.6527,-3.469,-4.3768,72.091,37.729
1,1,140,0.039795,-0.34961,9.7856,-0.015784,-0.07351,-1.6634,-3.46,-4.3638,72.007,37.779
1,1,145,0.033096,-0.3789,9.7828,-0.11544,0.072217,-1.5622,-3.4553,-4.3448,71.929,37.829
1,1,150,0.039711,-0.37161,9.763,-0.13349,0.21373,-1.5308,-3.4517,-4.3188,71.852,37.879
1,1,155,0.045688,-0.28856,9.7111,-0.015565,-0.35622,-1.5981,-3.4427,-4.3188,71.772,37.929
1,1,160,0.041939,-0.20348,9.6579,0.10296,-1.0233,-1.5926,-3.4278,-4.3496,71.691,37.979
1,1,165,0.032753,-0.21524,9.6587,0.44913,-1.3426,-1.4932,-3.3953,-4.3966,71.614,38.029
1,1,170,0.024878,-0.32912,9.7441,0.76011,-1.5097,-1.5677,-3.3475,-4.4547,71.532,38.079
1,1,175,0.011023,-0.45918,9.8381,0.77019,-1.3127,-1.6329,-3.2991,-4.5062,71.447,38.129
1,1,180,-0.0082558,-0.47722,9.9029,0.5587,-0.63109,-1.5517,-3.2606,-4.5242,71.366,38.179
1,1,185,-0.01341,-0.43921,9.9279,0.32441,0.12245,-1.5092,-3.2336,-4.5036,71.289,38.229
1,1,190,-0.018455,-0.38483,9.8921,0.22767,0.068998,-1.4725,-3.2112,-4.4845,71.214,38.279
1,1,195,-0.03586,-0.25608,9.8471,0.0061202,-0.48882,-1.4948,-3.1995,-4.4896,71.139,38.329
1,1,200,-0.061168,-0.22594,9.9002,-0.21535,-0.55768,-1.6217,-3.1986,-4.4968,71.058,38.379
1,1,205,-0.063933,-0.36807,9.9298,-0.59164,-0.16516,-1.6896,-3.2165,-4.4884,70.975,38.429
1,1,210,-0.039515,-0.44138,9.8241,-0.94697,-0.14884,-1.6277,-3.2525,-4.4818,70.897,38.479
1,1,215,-0.010056,-0.3586,9.6365,-1.1971,-0.32894,-1.6534,-3.3021,-4.4822,70.818,38.529
1,1,220,-0.012192,-0.29821,9.6099,-1.6337,-0.433,-1.8627,-3.3738,-4.4854,70.731,38.579
1,1,225,-0.022494,-0.37368,9.7744,-1.9884,-0.43008,-1.9649,-3.4626,-4.49,70.64,38.629
1,1,230,-0.024896,-0.48392,9.9206,-2.1014,-0.30357,-1.7676,-3.5555,-4.4916,70.559,38.679
1,1,235,-0.028611,-0.42659,9.9602,-1.795,-0.52348,-1.5539,-3.6317,-4.5028,70.488,38.729
1,1,240,-0.016683,-0.24072,9.9325,-1.2269,-1.0246,-1.4948,-3.6795,-4.5335,70.417,38.779
1,1,245,-0.002753,-0.13506,9.79,-0.56688,-1.5582,-1.5646,-3.6954,-4.5874,70.34,38.829
1,1,250,-0.020748,-0.22651,9.7848,-0.18551,-1.6175,-1.7677,-3.6927,-4.6459,70.251,38.879
1,1,255,-0.035768,-0.47927,9.9387,-0.13779,-1.1582,-1.6635,-3.6865,-4.6887,70.168,38.929
1,1,260,-0.033323,-0.64124,10.006,-0.076971,-0.47006,-1.2325,-3.6755,-4.7029,70.107,38.979
1,1,265,-0.024068,-0.59414,9.9209,0.04614,0.20175,-0.868,-3.6575,-4.6836,70.063,39.029
1,1,270,-0.03733,-0.42097,9.8232,-0.042442,0.82715,-0.96407,-3.6441,-4.6282,70.014,39.079
1,1,275,-0.041827,-0.35011,9.7427,-0.29136,1.5064,-1.3092,-3.6444,-4.5364,69.949,39.129
1,1,280,-0.084336,-0.39067,9.8572,-0.35506,1.4356,-1.5703,-3.6474,-4.4486,69.871,39.179
1,1,285,-0.11049,-0.29276,9.9767,-0.16947,0.33286,-1.6995,-3.6405,-4.4126,69.786,39.229
1,1,290,-0.10157,-0.14205,9.9472,-0.30264,-0.62519,-1.791,-3.641,-4.4199,69.697,39.279
1,1,295,-0.097544,-0.14117,9.8892,-0.7931,-1.1799,-1.7622,-3.6659,-4.455,69.611,39.329
1,1,300,-0.089708,-0.26052,9.7681,-1.5008,-1.3129,-1.653,-3.7259,-4.5008,69.533,39.379
1,1,305,-0.096361,-0.45632,9.7964,-1.9231,-0.79473,-1.5914,-3.8061,-4.5265,69.461,39.429
1,1,310,-0.080748,-0.57304,9.8826,-1.7577,-0.34806,-1.4738,-3.8776,-4.5332,69.393,39.479
1,1,315,-0.077014,-0.46503,9.8305,-1.2196,-0.10565,-1.4022,-3.9219,-4.5248,69.328,39.529
1,1,320,-0.043012,-0.36191,9.7158,-0.80508,0.20429,-1.4205,-3.9467,-4.4981,69.259,39.579
1,1,325,-0.023675,-0.3477,9.6734,-0.30539,0.42985,-1.4552,-3.9474,-4.4597,69.187,39.629
1,1,330,6.10E-05,-0.39848,9.5917,0.067963,0.65343,-1.4662,-3.9304,-4.412,69.112,39.679
1,1,335,0.0060809,-0.43229,9.5798,0.049964,0.7375,-1.3849,-3.9141,-4.3616,69.043,39.729
1,1,340,-0.020717,-0.25576,9.8077,-0.0017423,-0.013967,-1.4287,-3.8994,-4.343,68.97,39.779
1,1,345,-0.035838,-0.052189,9.9689,0.21479,-0.70236,-1.6294,-3.8741,-4.3518,68.886,39.829
1,1,350,-0.067057,-0.20281,10.054,0.58078,-0.60502,-1.7369,-3.8301,-4.3595,68.796,39.879
1,1,355,-0.088432,-0.47701,10.107,1.1378,-0.34099,-1.4729,-3.7569,-4.3627,68.718,39.929
1,1,360,-0.07672,-0.50052,9.9527,1.526,-0.098354,-1.123,-3.6642,-4.356,68.655,39.979
1,1,365,-0.069894,-0.36478,9.7456,1.6468,0.25721,-1.1909,-3.5667,-4.328,68.589,40.029
1,1,370,-0.073346,-0.25251,9.6578,1.5209,0.61189,-1.5188,-3.4773,-4.2787,68.507,40.079
1,1,375,-0.062454,-0.24233,9.5866,1.2377,0.6924,-1.8237,-3.4038,-4.2246,68.41,40.129
1,1,380,-0.0552,-0.30673,9.5178,0.86365,0.39252,-1.7856,-3.3493,-4.1881,68.317,40.179
1,1,385,-0.061743,-0.31449,9.5725,0.28485,0.050476,-1.4731,-3.3223,-4.17,68.242,40.229
1,1,390,-0.08025,-0.29206,9.7372,-0.12484,0.071854,-1.3388,-3.3145,-4.1504,68.175,40.279
1,1,395,-0.09595,-0.29687,9.8847,-0.28691,-0.0024617,-1.2616,-3.3138,-4.1347,68.112,40.329
1,1,400,-0.10229,-0.2698,9.9423,-0.49958,-0.13085,-1.2657,-3.3234,-4.1245,68.05,40.379
1,1,405,-0.095813,-0.25506,9.9263,-0.79773,-0.01233,-1.5193,-3.3488,-4.1074,67.976,40.429
1,1,410,-0.09967,-0.31006,9.9374,-0.97156,0.11218,-1.6508,-3.383,-4.0854,67.896,40.479
1,1,415,-0.096502,-0.36654,9.9226,-0.8942,0.25972,-1.6413,-3.4132,-4.0578,67.817,40.529
1,1,420,-0.063495,-0.3629,9.7979,-0.78096,0.39258,-1.5904,-3.4387,-4.024,67.74,40.579
1,1,425,-0.04999,-0.28405,9.678,-0.84425,0.27259,-1.572,-3.4676,-3.9943,67.663,40.629
1,1,430,-0.049834,-0.23731,9.6753,-0.90479,-0.055517,-1.7024,-3.4999,-3.9793,67.581,40.679
1,1,435,-0.038758,-0.27272,9.6848,-0.94558,-0.27622,-1.8526,-3.5348,-3.9759,67.49,40.729
1,1,440,-0.02782,-0.31767,9.6869,-0.88525,-0.53215,-1.8932,-3.567,-3.9863,67.398,40.779
1,1,445,-0.035419,-0.32126,9.7909,-0.79557,-0.56298,-1.9416,-3.5943,-3.9979,67.303,40.829
1,1,450,-0.043388,-0.33712,9.912,-0.75178,-0.3758,-2.0338,-3.6193,-4,67.204,40.879
1,1,455,-0.054315,-0.3512,10.019,-0.51229,-0.34658,-2.203,-3.6323,-4.0001,67.095,40.929
1,1,460,-0.061561,-0.35989,10.061,-0.24197,-0.25691,-2.2968,-3.6318,-3.9957,66.98,40.979
1,1,465,-0.057726,-0.38663,9.9745,-0.18674,0.19001,-2.2458,-3.6287,-3.9701,66.868,41.029
