Driver,Trip,Time,Ax,Ay,Az,PitchRate,RollRate,YawRate,Pitch,Roll,Yaw,ImuTime
1,30,110,0.2249036,-0.1848091,9.763522,-0.3537399,-0.1118102,3.00499,-2.562012,-3.797498,26.54189,37.6840008497879
1,30,115,0.304979,-0.1778629,9.794984,-0.4652381,-0.07940494,3.133103,-2.57089,-3.794713,26.69929,37.7340026853461
1,30,120,0.3561678,-0.1674969,9.827295,-0.5866531,-0.1494114,3.303185,-2.586652,-3.79549,26.86556,37.7840045209042
1,30,125,0.3666182,-0.1900128,9.832869,-0.6061658,-0.1678835,3.235164,-2.603817,-3.797728,27.02853,37.8340063564623
1,30,130,0.3888173,-0.232012,9.805604,-0.4872728,-0.2292127,3.025395,-2.616362,-3.803843,27.18069,37.8840081920204
1,30,135,0.4097272,-0.2379052,9.787789,-0.5389287,-0.2793222,2.810222,-2.632733,-3.812169,27.32228,37.9340100275785
1,30,140,0.3895709,-0.2364,9.803059,-0.6793328,-0.193261,2.675526,-2.655805,-3.815856,27.45761,37.9840118631366
1,30,145,0.395679,-0.2551789,9.812582,-0.6241049,-0.07648956,2.570244,-2.67653,-3.814056,27.58751,38.0340136986948
1,30,150,0.5007711,-0.2793644,9.794984,-0.552654,-0.0353419,2.405035,-2.697249,-3.810606,27.70896,38.0840155342529
1,30,155,0.684943,-0.3012452,9.776796,-0.6351513,-0.1467128,2.192643,-2.728071,-3.812939,27.8201,38.134017369811
1,30,160,0.8510822,-0.3206983,9.773056,-0.6816697,-0.372209,1.878069,-2.766933,-3.826376,27.91571,38.1840192053691
1,30,165,0.9776011,-0.3522853,9.771654,-0.776728,-0.486908,1.435442,-2.815454,-3.845388,27.98958,38.2340210409272
1,30,170,1.110226,-0.4025862,9.773392,-0.9063772,-0.6321213,0.8439396,-2.875987,-3.871623,28.03441,38.2840228764853
1,30,175,1.201219,-0.4238474,9.789615,-0.9004145,-0.663624,0.2547641,-2.940513,-3.898452,28.04983,38.3340247120435
1,30,180,1.055241,-0.3518576,9.837406,-0.7228312,-0.3014942,-0.2141776,-2.993158,-3.903723,28.04111,38.3840265476016
1,30,185,0.579533,-0.2502711,9.905385,-0.3768724,0.5582736,-0.3416343,-3.014829,-3.862706,28.02469,38.4340283831597
1,30,190,0.0515433,-0.1976592,9.921786,0.1147804,1.273074,-0.1617305,-2.995962,-3.785153,28.01554,38.4840302187178
1,30,195,-0.2032218,-0.1497824,9.854659,0.5672051,1.31538,0.05046172,-2.946701,-3.705093,28.01549,38.5340320542759
1,30,200,-0.1229083,-0.09065345,9.762812,0.5511487,0.9130765,0.02864546,-2.901026,-3.643848,28.01436,38.584033889834
1,30,205,0.0886617,-0.06412884,9.727521,0.1448888,0.4719503,-0.2261681,-2.88277,-3.603575,28.00179,38.6340357253922
1,30,210,0.2817975,-0.09059627,9.754651,-0.3048885,0.1029007,-0.4226458,-2.893137,-3.582164,27.98085,38.6840375609503
1,30,215,0.35624,-0.1206718,9.803297,-0.5886889,0.08575214,-0.2215067,-2.919014,-3.563051,27.97089,38.7340393965084
1,30,220,0.3056762,-0.1237981,9.832923,-0.7541358,0.2541462,0.2180255,-2.950101,-3.536838,27.9834,38.7840412320665
1,30,225,0.1992092,-0.1159099,9.846884,-0.69041,0.1879356,0.4021701,-2.974182,-3.514258,28.00488,38.8340430676246
1,30,230,0.1197757,-0.133169,9.844647,-0.5237864,-0.06450693,0.1105571,-2.988449,-3.504074,28.01129,38.8840449031827
1,30,235,0.09079733,-0.176763,9.818229,-0.3366571,-0.1996451,-0.2746733,-2.993718,-3.500954,27.99794,38.9340467387409
1,30,240,0.1302914,-0.1903858,9.781011,-0.2673835,-0.1414336,-0.3875094,-2.997069,-3.495115,27.97877,38.984048574299
1,30,245,0.2191809,-0.1424803,9.784475,-0.3786552,0.0168669,-0.2230595,-3.008018,-3.480473,27.96807,39.0340504098571
1,30,250,0.2837893,-0.06308286,9.826239,-0.433559,0.07166334,-0.1011632,-3.023095,-3.461111,27.96351,39.0840522454152
1,30,255,0.2730895,-0.04309773,9.855958,-0.3701206,0.01885073,-0.06497764,-3.034479,-3.443921,27.96052,39.1340540809733
1,30,260,0.2262284,-0.099311,9.842999,-0.4604384,-0.163367,-0.1432393,-3.049173,-3.437351,27.95398,39.1840559165314
1,30,265,0.1819987,-0.1471589,9.803624,-0.4699942,-0.3084523,-0.1426167,-3.063033,-3.4395,27.94757,39.2340577520896
1,30,270,0.177655,-0.153045,9.784987,-0.3944006,-0.2236674,-0.03522373,-3.07265,-3.437899,27.94631,39.2840595876477
1,30,275,0.1888209,-0.1489452,9.802907,-0.3460436,-0.1242145,-0.03185064,-3.080106,-3.431207,27.94507,39.3340614232058
1,30,280,0.1892705,-0.1334039,9.820709,-0.2253753,-0.117376,-0.1640094,-3.081913,-3.423348,27.93683,39.3840632587639
1,30,285,0.1991609,-0.1099369,9.822295,-0.06132026,-0.1117821,-0.2260031,-3.076034,-3.414371,27.92497,39.434065094322
1,30,290,0.2216623,-0.1071811,9.820631,-0.1795279,-0.06831048,-0.2370398,-3.076745,-3.40319,27.9129,39.4840669298801
1,30,295,0.234464,-0.1096444,9.81505,-0.2747971,-0.1029605,-0.2011584,-3.082457,-3.393981,27.90292,39.5340687654382
1,30,300,0.2179504,-0.09542365,9.7985,-0.2810917,-0.1650396,-0.0294678,-3.087491,-3.38798,27.90151,39.5840706009964
1,30,305,0.1961697,-0.09164872,9.795619,-0.3368066,-0.2862489,0.1031409,-3.094246,-3.388299,27.90689,39.6340724365545
1,30,310,0.2002869,-0.1292621,9.820373,-0.3763439,-0.377498,0.04647287,-3.103176,-3.394064,27.90961,39.6840742721126
1,30,315,0.2222036,-0.1764984,9.836778,-0.4611158,-0.4567142,-0.08410418,-3.117266,-3.404752,27.90612,39.7340761076707
1,30,320,0.2494601,-0.1834612,9.828877,-0.4882976,-0.1795497,-0.1987015,-3.133782,-3.401507,27.897,39.7840779432288
1,30,325,0.2855641,-0.1554213,9.81729,-0.462287,0.2103544,-0.2091576,-3.150027,-3.378048,27.88723,39.834079778787
1,30,330,0.3054427,-0.1014396,9.817938,-0.6135654,0.3646006,-0.1970937,-3.174246,-3.34551,27.87842,39.8840816143451
1,30,335,0.2304713,-0.07104407,9.824145,-0.6502963,0.4333783,-0.1963764,-3.197967,-3.308817,27.86968,39.9340834499032
1,30,340,0.1120398,-0.08865277,9.818087,-0.4883884,0.4133019,-0.1066282,-3.209823,-3.274051,27.86497,39.9840852854613
1,30,345,0.08057959,-0.1003923,9.800284,-0.3393417,0.1184873,-0.05796631,-3.213184,-3.254608,27.86229,40.0340871210194
1,30,350,0.1399514,-0.1090549,9.788933,-0.3039754,-0.1156538,-0.03312597,-3.216449,-3.247247,27.86076,40.0840889565775
1,30,355,0.2159538,-0.1315183,9.807946,-0.3541955,-0.1785397,-0.08297828,-3.224517,-3.243543,27.85692,40.1340907921357
1,30,360,0.2592614,-0.1402844,9.832226,-0.4581172,-0.2792661,-0.08820935,-3.238941,-3.245087,27.85312,40.1840926276938
1,30,365,0.2585092,-0.1223949,9.828513,-0.3910466,-0.2465804,-0.00488096,-3.249714,-3.244705,27.85326,40.2340944632519
1,30,370,0.2407106,-0.09716248,9.809864,-0.2771685,-0.007095788,0.003479353,-3.254267,-3.23171,27.85345,40.28409629881
1,30,375,0.2150889,-0.08564206,9.803777,-0.1739677,-0.02698383,-0.03720889,-3.253049,-3.219309,27.8513,40.3340981343681
1,30,380,0.189612,-0.08800097,9.800412,-0.1945806,-0.1273262,-0.05983239,-3.252186,-3.211976,27.84809,40.3840999699262
1,30,385,0.1721404,-0.0898913,9.797311,-0.2599874,-0.194255,0.02588236,-3.253833,-3.208323,27.84935,40.4341018054844
1,30,390,0.1787371,-0.1026879,9.812439,-0.2401101,-0.2436968,0.07873393,-3.254503,-3.207644,27.85321,40.4841036410425
1,30,395,0.2172682,-0.1315962,9.828301,-0.3547011,-0.2912493,0.07155,-3.261975,-3.210149,27.85708,40.5341054766006
1,30,400,0.2668419,-0.1429805,9.826095,-0.3288357,-0.2597642,-0.004602363,-3.269787,-3.211191,27.85709,40.5841073121587
1,30,405,0.3858517,-0.1502823,9.799944,-0.2359686,-0.1822574,-0.09027135,-3.276699,-3.20837,27.85257,40.6341091477168
1,30,410,0.7457035,-0.1648262,9.747165,-0.4203701,-0.1440189,-0.1351153,-3.303438,-3.204073,27.84635,40.6841109832749
1,30,415,1.077438,-0.1055182,9.732845,-0.7527726,-0.07977382,-0.06548799,-3.356064,-3.195145,27.84443,40.734112818833
1,30,420,1.233289,-0.04574673,9.778491,-0.9750754,0.1151351,-0.04557882,-3.423886,-3.174834,27.84401,40.7841146543912
1,30,425,1.286558,-0.07159238,9.826417,-0.9753534,0.14251,-0.08109637,-3.492945,-3.15383,27.84183,40.8341164899493
1,30,430,1.312266,-0.1112594,9.860419,-0.8077641,-0.04507093,-0.07327167,-3.553993,-3.143361,27.83961,40.8841183255074
1,30,435,1.322883,-0.111102,9.862884,-0.4428256,-0.2174701,0.0006384022,-3.596707,-3.14168,27.84006,40.9341201610655
1,30,440,1.314585,-0.07957227,9.832026,-0.1827042,-0.1010948,0.1523177,-3.625686,-3.133779,27.84733,40.9841219966236
1,30,445,1.315418,-0.05209827,9.799529,-0.1415391,0.09621841,0.4273271,-3.651815,-3.116212,27.8682,41.0341238321817
